IUGU CODE,TIME PERIOD,DEMAND,MIN FULFILLMENT (%)
IU_003,1,222553,100.0
IU_011,1,72369,100.0
GU_002,1,161885,100.0
GU_005,1,216053,100.0
GU_020,1,142403,100.0
GU_021,1,195696,100.0
GU_009,1,264228,100.0
GU_008,1,142297,100.0
GU_004,1,108302,100.0
IU_007,1,86799,100.0
IU_009,1,63895,100.0
GU_001,1,141200,100.0
GU_019,1,212187,100.0
GU_015,1,189353,100.0
GU_003,1,164015,100.0
GU_006,1,222387,100.0
GU_018,1,72902,100.0
GU_011,1,267588,100.0
GU_017,1,231997,100.0
IU_016,1,232114,100.0
IU_015,1,208606,100.0
IU_013,1,185454,100.0
IU_012,1,164015,100.0
IU_002,1,118459,100.0
GU_023,1,244150,100.0
IU_001,1,51565,100.0
GU_007,1,247363,100.0
IU_017,1,273307,100.0
IU_014,1,64083,100.0
IU_005,1,280865,100.0
IU_020,1,124400,100.0
GU_022,1,73775,100.0
GU_013,1,197269,100.0
GU_024,1,222191,100.0
GU_014,1,106883,100.0
IU_004,1,226756,100.0
IU_019,1,229332,100.0
IU_010,1,176743,100.0
IU_018,1,231068,100.0
GU_012,1,209478,100.0
GU_016,1,200210,100.0
GU_010,1,196158,100.0
IU_008,1,241386,100.0
IU_006,1,277367,100.0
IU_003,2,266578,100.0
IU_011,2,148436,100.0
GU_002,2,294543,100.0
GU_005,2,263388,100.0
GU_020,2,242119,100.0
GU_021,2,175735,100.0
GU_009,2,208628,100.0
GU_008,2,266398,100.0
GU_004,2,277306,100.0
IU_007,2,221636,100.0
IU_009,2,90017,100.0
GU_001,2,124345,100.0
GU_019,2,153205,100.0
GU_015,2,253901,100.0
GU_003,2,214935,100.0
GU_006,2,267294,100.0
GU_018,2,105102,100.0
GU_011,2,102398,100.0
GU_017,2,50816,100.0
IU_016,2,250634,100.0
IU_015,2,222050,100.0
IU_013,2,143859,100.0
IU_012,2,195183,100.0
IU_002,2,209619,100.0
GU_023,2,200504,100.0
IU_001,2,116641,100.0
GU_007,2,71953,100.0
IU_017,2,50783,100.0
IU_014,2,179832,100.0
IU_005,2,212325,100.0
IU_020,2,51215,100.0
GU_022,2,102045,100.0
GU_013,2,192586,100.0
GU_024,2,99055,100.0
GU_014,2,65380,100.0
IU_004,2,67992,100.0
IU_019,2,252304,100.0
IU_010,2,149210,100.0
IU_018,2,202505,100.0
GU_012,2,166301,100.0
GU_016,2,287551,100.0
GU_010,2,51341,100.0
IU_008,2,140555,100.0
IU_006,2,55915,100.0
IU_003,3,110358,100.0
IU_011,3,104867,100.0
GU_002,3,186037,100.0
GU_005,3,198258,100.0
GU_020,3,220919,100.0
GU_021,3,265904,100.0
GU_009,3,98934,100.0
GU_008,3,164845,100.0
GU_004,3,292848,100.0
IU_007,3,257267,100.0
IU_009,3,144996,100.0
GU_001,3,146479,100.0
GU_019,3,122206,100.0
GU_015,3,86233,100.0
GU_003,3,163201,100.0
GU_006,3,230651,100.0
GU_018,3,90635,100.0
GU_011,3,112526,100.0
GU_017,3,118548,100.0
IU_016,3,283875,100.0
IU_015,3,285221,100.0
IU_013,3,136637,100.0
IU_012,3,59465,100.0
IU_002,3,216951,100.0
GU_023,3,132503,100.0
IU_001,3,145208,100.0
GU_007,3,117764,100.0
IU_017,3,220742,100.0
IU_014,3,130776,100.0
IU_005,3,168561,100.0
IU_020,3,234965,100.0
GU_022,3,170104,100.0
GU_013,3,88487,100.0
GU_024,3,61344,100.0
GU_014,3,140530,100.0
IU_004,3,292534,100.0
IU_019,3,206569,100.0
IU_010,3,118452,100.0
IU_018,3,205242,100.0
GU_012,3,228684,100.0
GU_016,3,133925,100.0
GU_010,3,99568,100.0
IU_008,3,83619,100.0
IU_006,3,159473,100.0
