IUGU CODE,PLANT TYPE,# Source
GU_002,GU,
GU_005,GU,
GU_020,GU,
GU_021,GU,
GU_009,GU,
GU_008,GU,
GU_001,GU,
GU_019,GU,3.0
GU_015,GU,
GU_003,GU,
GU_006,GU,
GU_018,GU,
GU_017,GU,
GU_023,GU,
GU_007,GU,
GU_022,GU,4.0
GU_013,GU,
GU_014,GU,
GU_004,GU,
GU_011,GU,
GU_016,GU,
GU_012,GU,
GU_024,GU,
GU_025,GU,
IU_020,IU,
IU_005,IU,
IU_003,IU,
IU_011,IU,
IU_014,IU,
IU_007,IU,
IU_009,IU,
IU_016,IU,
IU_015,IU,
IU_013,IU,
IU_012,IU,
IU_002,IU,
IU_001,IU,
IU_017,IU,
IU_004,IU,
IU_019,IU,
IU_010,IU,
IU_018,IU,
IU_021,IU,
IU_008,IU,
IU_006,IU,
GU_010,GU,
