FROM IU CODE,TO IUGU CODE,TRANSPORT CODE,TIME PERIOD,FREIGHT COST,HANDLING COST,QUANTITY MULTIPLIER
IU_001,IU_001,T1,1,0,0,1
IU_001,IU_001,T1,2,0,0,1
IU_001,IU_001,T1,3,0,0,1
IU_002,IU_002,T1,1,0,0,1
IU_002,IU_002,T1,2,0,0,1
IU_002,IU_002,T1,3,0,0,1
IU_001,GU_001,T2,1,1200,100,3000
IU_001,GU_001,T2,2,1200,100,3000
IU_001,GU_001,T2,3,1200,100,3000
IU_001,GU_002,T1,1,850,0,1
IU_001,GU_002,T1,2,850,0,1
IU_001,GU_002,T1,3,900,0,1
IU_001,GU_003,T2,1,1800,100,3000
IU_001,GU_003,T2,2,1800,100,3000
IU_001,GU_003,T2,3,1800,100,3000
IU_002,GU_001,T1,1,2500,0,1
IU_002,GU_001,T1,2,2500,0,1
IU_002,GU_001,T1,3,2500,0,1
IU_002,GU_002,T1,1,400,0,1
IU_002,GU_002,T1,2,400,0,1
IU_002,GU_002,T1,3,400,0,1
IU_002,GU_003,T1,1,1100,0,1
IU_002,GU_003,T1,2,1100,0,1
IU_002,GU_003,T1,3,1100,0,1
